iter	Passed	Remaining
0	60	60036
1	60	30177
2	60	20192
3	61	15191
4	61	12191
5	61	10189
6	61	8765
7	62	7692
8	62	6858
9	62	6191
10	62	5647
11	63	5194
12	63	4808
13	63	4479
14	63	4197
15	64	3948
16	64	3727
17	64	3531
18	64	3354
19	65	3197
20	65	3055
21	65	2926
22	66	2806
23	66	2699
24	66	2599
25	66	2505
26	67	2419
27	67	2338
28	67	2264
29	67	2194
30	68	2128
31	68	2067
32	68	2009
33	68	1955
34	69	1906
35	69	1858
36	69	1814
37	69	1771
38	70	1729
39	70	1690
40	70	1656
41	71	1622
42	71	1591
43	71	1559
44	72	1528
45	72	1499
46	72	1472
47	72	1445
48	73	1419
49	73	1394
50	73	1370
51	73	1347
52	74	1324
53	74	1303
54	74	1287
55	75	1268
56	75	1250
57	75	1232
58	76	1213
59	76	1195
60	76	1180
61	76	1163
62	77	1147
63	77	1132
64	77	1117
65	77	1102
66	78	1088
67	78	1074
68	78	1060
69	78	1047
70	79	1034
71	79	1022
72	79	1010
73	79	998
74	80	987
75	80	977
76	80	966
77	80	955
78	81	945
79	81	935
80	81	925
81	81	917
82	82	906
83	82	897
84	82	888
85	82	879
86	83	871
87	83	862
88	83	854
89	83	846
90	83	838
91	84	830
92	84	822
93	84	815
94	84	808
95	85	801
96	85	794
97	85	787
98	85	780
99	86	774
100	86	768
101	86	763
102	87	758
103	87	752
104	87	747
105	88	743
106	88	737
107	88	733
108	89	728
109	89	724
110	90	721
111	90	716
112	90	711
113	91	707
114	91	704
115	91	699
116	91	694
117	92	689
118	92	684
119	92	680
120	93	675
121	93	670
122	93	666
123	93	661
124	93	657
125	94	653
126	94	648
127	94	644
128	94	640
129	95	636
130	96	636
131	96	634
132	96	631
133	97	628
134	97	624
135	97	621
136	98	617
137	98	614
138	98	610
139	98	607
140	99	604
141	99	600
142	99	596
143	99	593
144	100	589
145	100	586
146	100	583
147	100	580
148	101	577
149	101	574
150	101	572
151	102	569
152	102	566
153	102	563
154	102	561
155	103	558
156	103	556
157	103	553
158	104	550
159	104	547
160	104	544
161	104	542
162	105	539
163	105	537
164	105	535
165	106	532
166	106	530
167	106	527
168	106	525
169	107	522
170	107	520
171	107	517
172	107	514
173	107	512
174	108	510
175	108	507
176	108	505
177	108	503
178	109	500
179	109	498
180	109	496
181	109	493
182	110	491
183	110	489
184	110	486
185	110	484
186	111	482
187	111	480
188	111	478
189	111	476
190	112	474
191	112	472
192	112	470
193	112	468
194	113	466
195	113	464
196	113	462
197	113	460
198	114	459
199	114	457
200	114	455
201	114	453
202	115	451
203	115	449
204	115	447
205	115	446
206	116	444
207	116	442
208	116	440
209	116	439
210	117	437
211	117	436
212	117	435
213	118	434
214	118	432
215	118	431
216	119	429
217	119	428
218	119	427
219	119	425
220	120	423
221	120	422
222	120	421
223	121	420
224	121	418
225	121	417
226	122	415
227	122	414
228	122	412
229	122	411
230	123	410
231	123	409
232	123	407
233	124	406
234	124	404
235	124	403
236	124	402
237	125	400
238	125	399
239	125	398
240	125	396
241	126	395
242	126	393
243	126	392
244	126	391
245	127	389
246	127	388
247	127	387
248	127	385
249	128	384
250	128	383
251	128	381
252	128	380
253	129	379
254	129	377
255	129	376
256	129	375
257	130	373
258	130	372
259	130	371
260	130	370
261	131	369
262	131	368
263	131	367
264	131	366
265	132	364
266	132	364
267	132	363
268	133	362
269	133	361
270	134	360
271	134	359
272	134	358
273	134	357
274	134	355
275	135	355
276	135	354
277	136	353
278	136	352
279	136	351
280	137	350
281	137	349
282	137	348
283	137	347
284	138	346
285	138	345
286	138	344
287	138	342
288	138	341
289	139	340
290	139	339
291	139	338
292	139	337
293	140	336
294	140	335
295	140	334
296	140	333
297	141	332
298	141	331
299	141	330
300	141	329
301	142	328
302	142	327
303	142	326
304	142	325
305	143	324
306	143	323
307	143	322
308	143	321
309	144	320
310	144	319
311	144	318
312	144	317
313	144	316
314	145	315
315	145	314
316	145	313
317	145	313
318	146	312
319	146	311
320	146	310
321	147	309
322	147	308
323	147	308
324	148	307
325	148	306
326	148	306
327	149	305
328	149	304
329	149	303
330	149	303
331	150	302
332	150	301
333	150	300
334	151	300
335	151	299
336	151	299
337	152	298
338	152	297
339	152	296
340	152	295
341	153	294
342	153	293
343	153	292
344	153	292
345	154	291
346	154	290
347	154	289
348	154	288
349	155	288
350	155	287
351	155	286
352	155	285
353	155	284
354	156	283
355	156	282
356	156	282
357	156	281
358	157	280
359	157	279
360	157	278
361	157	278
362	158	277
363	158	276
364	158	275
365	158	275
366	159	274
367	159	273
368	159	272
369	159	272
370	160	271
371	160	270
372	160	269
373	160	269
374	161	268
375	161	267
376	161	266
377	161	266
378	161	265
379	162	264
380	162	263
381	162	263
382	163	262
383	163	261
384	163	261
385	164	262
386	165	261
387	165	260
388	165	260
389	166	259
390	166	259
391	166	258
392	166	257
393	167	257
394	167	256
395	167	255
396	167	255
397	168	254
398	168	253
399	168	253
400	169	253
401	169	252
402	170	252
403	170	251
404	170	250
405	170	249
406	171	249
407	171	248
408	171	247
409	171	247
410	171	246
411	172	245
412	172	244
413	172	244
414	172	243
415	173	242
416	173	242
417	173	241
418	173	240
419	173	240
420	174	239
421	174	238
422	174	238
423	174	237
424	175	236
425	175	236
426	175	235
427	175	235
428	176	234
429	176	233
430	176	233
431	176	232
432	176	231
433	177	231
434	177	230
435	177	229
436	177	229
437	178	228
438	178	227
439	178	227
440	178	226
441	179	226
442	179	225
443	179	225
444	180	224
445	180	223
446	180	223
447	180	222
448	181	222
449	181	221
450	181	221
451	182	220
452	182	220
453	182	219
454	183	219
455	183	218
456	183	218
457	183	217
458	184	217
459	184	216
460	184	215
461	184	215
462	185	214
463	185	214
464	185	213
465	185	212
466	185	212
467	186	211
468	186	210
469	186	210
470	186	209
471	186	209
472	187	208
473	187	207
474	187	207
475	187	206
476	188	206
477	188	205
478	188	204
479	188	204
480	188	203
481	189	203
482	189	202
483	189	202
484	189	201
485	190	200
486	190	200
487	190	199
488	190	199
489	190	198
490	191	198
491	191	197
492	191	197
493	191	196
494	192	195
495	192	195
496	192	194
497	192	194
498	193	193
499	193	193
500	193	192
501	193	192
502	194	191
503	194	191
504	194	190
505	195	190
506	195	189
507	195	189
508	195	189
509	196	188
510	196	188
511	196	187
512	196	186
513	197	186
514	197	186
515	197	185
516	198	185
517	198	184
518	198	184
519	199	183
520	199	183
521	199	182
522	199	182
523	200	181
524	200	181
525	200	180
526	200	180
527	201	179
528	201	179
529	201	178
530	202	178
531	202	177
532	202	177
533	202	176
534	202	176
535	203	175
536	203	175
537	203	174
538	203	174
539	203	173
540	204	173
541	204	172
542	204	172
543	204	171
544	205	171
545	205	170
546	205	170
547	205	169
548	206	169
549	206	168
550	206	168
551	206	167
552	207	167
553	207	166
554	207	166
555	207	165
556	208	165
557	208	164
558	208	164
559	208	164
560	209	163
561	209	163
562	209	162
563	209	162
564	210	161
565	210	161
566	210	161
567	211	160
568	211	160
569	211	159
570	211	159
571	212	158
572	212	158
573	212	157
574	213	157
575	213	157
576	213	156
577	213	156
578	214	155
579	214	155
580	214	154
581	214	154
582	215	153
583	215	153
584	215	152
585	215	152
586	216	151
587	216	151
588	216	151
589	216	150
590	217	150
591	217	149
592	217	149
593	217	148
594	217	148
595	218	147
596	218	147
597	218	147
598	218	146
599	219	146
600	219	145
601	219	145
602	219	144
603	220	144
604	220	143
605	220	143
606	221	143
607	221	142
608	221	142
609	221	141
610	222	141
611	222	140
612	222	140
613	222	140
614	222	139
615	223	139
616	223	138
617	223	138
618	224	137
619	224	137
620	224	136
621	224	136
622	224	136
623	225	135
624	225	135
625	225	134
626	226	134
627	226	134
628	226	133
629	227	133
630	227	132
631	227	132
632	227	132
633	228	131
634	228	131
635	228	130
636	229	130
637	229	130
638	229	129
639	229	129
640	230	128
641	230	128
642	230	128
643	230	127
644	231	127
645	231	126
646	231	126
647	231	125
648	232	125
649	232	125
650	232	124
651	232	124
652	232	123
653	233	123
654	233	122
655	233	122
656	233	122
657	234	121
658	234	121
659	234	120
660	234	120
661	234	119
662	235	119
663	235	119
664	235	118
665	235	118
666	236	117
667	236	117
668	236	117
669	236	116
670	237	116
671	237	115
672	237	115
673	237	115
674	238	114
675	238	114
676	238	113
677	238	113
678	238	112
679	239	112
680	239	112
681	239	111
682	239	111
683	240	110
684	240	110
685	240	110
686	240	109
687	241	109
688	242	109
689	242	108
690	242	108
691	243	108
692	243	107
693	243	107
694	244	107
695	244	106
696	244	106
697	244	105
698	245	105
699	245	105
700	245	104
701	246	104
702	246	104
703	246	103
704	246	103
705	246	102
706	247	102
707	247	102
708	247	101
709	247	101
710	248	100
711	248	100
712	248	100
713	248	99
714	249	99
715	249	98
716	249	98
717	249	98
718	250	97
719	250	97
720	250	96
721	250	96
722	250	96
723	251	95
724	251	95
725	251	94
726	251	94
727	252	94
728	252	93
729	252	93
730	252	93
731	253	92
732	253	92
733	253	91
734	253	91
735	253	91
736	254	90
737	254	90
738	254	89
739	254	89
740	255	89
741	255	88
742	255	88
743	255	88
744	255	87
745	256	87
746	256	86
747	256	86
748	257	86
749	257	85
750	257	85
751	258	85
752	258	84
753	258	84
754	258	83
755	259	83
756	259	83
757	259	82
758	260	82
759	260	82
760	260	81
761	260	81
762	261	81
763	261	80
764	261	80
765	261	79
766	261	79
767	262	79
768	262	78
769	262	78
770	262	78
771	263	77
772	263	77
773	263	76
774	263	76
